Month,Stale Block Count
2012-05,43
2012-06,50
2012-07,44
2012-08,52
2012-09,44
2012-10,41
2012-11,33
2012-12,21
2013-01,20
2013-02,32
2013-03,17
2013-04,17
2013-05,34
2013-06,27
2013-07,17
2013-08,36
2013-09,42
2013-10,43
2013-11,57
2013-12,50
2014-01,34
2014-02,39
2014-03,24
2014-04,27
2014-05,1
2014-06,21
2014-07,21
2014-08,28
2014-09,25
2014-10,13
2014-11,15
2014-12,22
2015-01,22
2015-02,32
2015-03,32
2015-04,35
2015-05,22
2015-06,15
2015-07,39
2015-08,29
2015-09,20
2015-10,32
2015-11,32
2015-12,40
2016-01,6
2016-02,19
2016-03,5
2016-04,7
2016-05,11
2016-06,12
2016-07,10
2016-08,14
2016-09,11
2016-10,9
2016-11,13
2016-12,7
2017-01,11
2017-02,9
2017-03,5
2017-04,8
2017-05,9
2017-06,14
2017-07,2
2017-08,7
2017-09,5
2017-10,6
2017-11,4
2017-12,9
2018-01,8
2018-02,6
2018-03,1
2018-04,0
2018-05,0
2018-06,2
2018-07,4
2018-08,1
2018-09,2
2018-10,1
2018-11,2
2018-12,0
2019-01,0
2019-02,2
2019-03,0
2019-04,3
2019-05,1
2019-06,0
2019-07,1
2019-08,5
2019-09,2
2019-10,2
2019-11,0
2019-12,0
2020-01,1
2020-02,3
2020-03,2
2020-04,2
2020-05,1
2020-06,2
2020-07,4
2020-08,5
2020-09,3
2020-10,3
2020-11,4
2020-12,4
2021-01,4
2021-02,3
2021-03,7
2021-04,1
2021-05,3
2021-06,0
2021-07,2
2021-08,3
2021-09,0
2021-10,3
2021-11,2
2021-12,4
2022-01,0
2022-02,1
2022-03,0
2022-04,2
2022-05,1
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,1
2022-11,1
2022-12,0
2023-01,3
2023-02,2
2023-03,6
2023-04,3
2023-05,7
2023-06,3
2023-07,2
2023-08,2
2023-09,1
2023-10,3
2023-11,5
2023-12,1
